Review,Aspect
Good and durable,Durability
"So far, they seem very durable too!",Durability
And cleaning is simple,Ease of Reprocessing
and how easy they are to clean,Ease of Reprocessing
"Super easy to wash too.
",Ease of Reprocessing
They are easy to clean and dry fast.,Ease of Reprocessing
"they clean EASILY in the washer and dryer.
",Ease of Reprocessing
They wash up great ,Ease of Reprocessing
These are soft ,Ergonomics
they are moderately comfortable ,Ergonomics
They are not super uncomfortable but definitely not comfortable,Ergonomics
They are super comfortable,Ergonomics
"They made me so hot down there, I couldn't take it.",Ergonomics
 noticed a strong chemical smell,Interference
do not stay in place unless you are laying down or sitting,Interference
moves a little too much when I'm wearing them because of the material.,Interference
no weird smells,Interference
They stay in place pretty well but not really well.,Interference
I cannot believe how absorbent they are,Performance
They are super comfortable and absorbent,Performance
very good quality,Performance
way more absorbent ,Performance
work well and are perfect for heavier days,Performance
I want more. I only wish I had found these sooner. The regular pads and tampons cause me so many problems from chafing to infections. ,Safety
"Good set, love the spoon and various sizes",Adaptability
"They are adorable,",Aesthetics
It's a great and durable teabag,Durability
Very durable and sturdy,Durability
clean easily,Ease of Reprocessing
Difficult to clean well,Ease of Reprocessing
they washes easy,Ease of Reprocessing
but they are so simple and easy,Ease of Use
Easy to clean,Ease of Use
Easy to use,Ease of Use
"It's an easy, convenient way to have my precious looseleaf tea at work without bringing tea canisters in.
",Ease of Use
"and makes you're tea taste like rubber
",Interference
have no smell or taste,Interference
I do wish the bottoms were somehow attached - I dropped one in the garbage while cleaning the leaves out and decided to throw the whole thing away rather than dig through trash.,Interference
"it has a smell that I can't get rid of
",Interference
"Not the smallest holes, so fine loose teas will get through.
",Interference
"The bottoms are easy to drop, since they are so tiny",Interference
do leak bits of the tea leaves.,Performance
The tea doesn't fall through the holes,Performance
"These are awful, they don't diffuse the tea enough",Performance
"They work well for loose teas like my Ceylon and Irish varieties that have very small leaves.
",Performance
WORK WONDERFULLY,Performance
Works pretty well,Performance
fun,Aesthetics
I've had these tea bags for a few weeks and have made at least a dozen cups of tea,Use Efficiency
"Also, I should have been aware of this, but I didn't realize that normal ice cubes would not fit in the top",Adaptability
Have the small one to throw in my briefcase when out & about. ,Adaptability
"It clips on to my backpack nicely, and would probably be fine on a belt",Adaptability
On the downside it's diameter means the bottle fits the cupholders in my VW but it doesnt fit any cupholders or even in the door of my Holden,Adaptability
bottle is beautiful ,Aesthetics
"First, it's not quite rose gold, more like copper",Aesthetics
good looking bottle.,Aesthetics
I was attracted to these because of the design,Aesthetics
looks great and the wood finish is awesome!,Aesthetics
"Slim design, and lots of different exterior to choose from. Glad I got it.
",Aesthetics
Style wise I have had many comments on the nice shape and colours,Aesthetics
It is also larger than the even more expensive branded version of the bottle which is a plus.,Use Efficiency
"Lastly, there's that bottom pad. Over time it's started to come up and I put some super glue in there to try and save it",Durability
"my bottle brush fits yo clean with ease!
",Ease of Reprocessing
super easy to wash,Ease of Reprocessing
These clean out easily with a drop of dish soap and a shake,Ease of Reprocessing
"This rim fits over the lip of the bottle and is only about an 1/8"" wide so is even too small to clean with a cotton bud and it's too deep to wipe with the corner of a cloth",Ease of Reprocessing
bit awkward to carry as its shape makes it slide out of your hand quite easy ,Ergonomics
I also purchased a wide mouth Mira bottle in order to make it easy for my morning coffee.,Ergonomics
It is also light weight so when you fill it up with water it's not as heavy as you think,Ergonomics
Opening is nice size,Ergonomics
"Also, if you keep the water inside for over a day, it gives off a moldy smell",Interference
"I am a little clumsy, so sometimes I drop it and it's really loud",Interference
there's a strong metallic smell inside ,Interference
"When you first get it, water tastes kinda metallic so I just put juice in it for the first week or so until the taste had faded",Interference
there is no need for a coaster,Aesthetics
 Keeps chilled water chilled for the entire day.,Performance
holds temperature incredibly well,Performance
I have several bottle and put refrigerated water with 3 small ice cubes in at 06:00 and still have nice cool water at 19:00.,Performance
"If I put tea in it at 7 AM, it's still lukewarm by 4 PM! Ice stays frozen for a 4-5 hours! ",Performance
"It did not keep the contents hot or cold for the amount of time indicated.
",Performance
It does however keep things cold. ,Performance
It keeps water nice and cool,Performance
My bottle arrived and would not completely close.,Performance
The seal is great. It doesn’t leak in my bag.,Performance
This thing keeps my drinks intensely cold.,Performance
Water stays ice cold overnight,Performance
" I like keeping track of the time while I'm in the shower and it's nice to have the date and temperature too. And if I put some product in my hair where you need to wait a number of minutes before rinsing it out, I use the timer for that. So far, I have no complaint about this clock and really like it. If something changes about that, I will post an update later.
  
Amazon Customer; Novemer 11, 2017
This shower clock is exactly what I'd hoped for! You'll want to read the instruction manual carefully and play around with this device to get a grasp of how it works. It works well as both a clock and timer (you press the mode button to switch between the 2 settings) and is easy to reset. It's very durable - I've dropped it repeatedly with no damage. I use it every day, and haven't had to replace the battery yet from the one provided. It can deal with water and humidity with seemingly no problem in functioning or clouding of the screen. There's also a kickstand that you can pop in the back to make it stand (althou",Adaptability
Fits right on the shower curtain hook on the the outside of the tub,Adaptability
It works well as both a clock and timer,Adaptability
it's nice to have the date and temperature too,Adaptability
 only lasted 6 months and the second one lasted about 9 months,Durability
" Unfortunately, the second time my daughter took a shower it got wet and now doesnt work!",Durability
And it is water resistant,Durability
It's very durable - I've dropped it repeatedly with no damage,Durability
"Thought, from the description, that it would stick on bathroom wall. Needs a hook??",Ease of Use
but the clock was easy to set,Ease of Use
"Easy to set up, came with a battery and very intuitive controls",Ease of Use
is easy to reset. ,Ease of Use
It is really easy to set it to whatever timer you need,Ease of Use
It was very easy for my kids to use ,Ease of Use
My young teen would stay in shower until we ran out of hot water. Sooooo annoying. With this product he is out in 5 minutes or mom comes knocking.,Interference
I have this in my shower because i was getting late for work because i was taking very long showers. The different time settings have helped to develop discipline,Performance
is working great,Performance
"it worked! I've got my shower time down,",Performance
"it's started to have this weird glitch where once the timer reaches zero, it doesn't sound off the alarm- it toggles to the clock mode and set the time to 2AM/resets the date",Performance
seems to be working great! ,Performance
"So far, I have no complaint about this clock and really like it",Performance
He tells me it's annoying but he is out of the shower in a reasonable time and mom and dad are saving money,Price
"The only thing that might matter to a potential buyer is that there's a bit of a delay for it to register the correct temperature - from what I've seen, it gradually builds up every 16 seconds, and if you're going from 60 to 80 degrees F it'll take a couple of minutes to get there.",Use Efficiency
" Nice amour of light, and beautiful flickering effect!
",Aesthetics
"Color is much better then what we had before
",Aesthetics
"they brighten up the deck and flicker, but not obnoxiously",Aesthetics
use them for decoration,Aesthetics
I've had them outside all summer and they're still just like new,Durability
"these candles work great even if they get rained on !
",Durability
two had a corridod battery inside,Durability
 they need direct sunlight to charge.,Ease of Reprocessing
"As of now all the candles are charging and working well.
",Ease of Reprocessing
 I have to flip the switch from on to off to on.,Ease of Use
All you need to do is flick the switch at the bottom and they are ready to go,Ease of Use
2 out of 6 work. What a waste.,Performance
Bad product. 6 arrived. 2 didnt stay on even after charged in sun all day. Now down to one working. ,Performance
So far working great,Performance
These really work well,Performance
"I love that I can have these around the I don't have to worry about the kids either burning themselves or swallowing a battery (that seems to be a big story in my area, especially with toys).",Safety
it looks slick.,Aesthetics
 I actually took this to Mount Everest and it handled the extreme environment well,Durability
It seems very durable,Durability
It's a well built power bank with an option to save your life,Durability
It's substantially built,Durability
product also fell apart after 1 trip with light use,Durability
"Thrilled with the product, but disappointed with the life of it.
",Durability
"Water resistant
",Durability
"But it's reassuring to know it's there if I need it. If it were lighter, cheaper, faster and thinner, I would have endowed it with five stars.
",Ease of Reprocessing
"I just wish it charged itself in sunlight quicker, it would only restore about 20% of its battery after a full day hiking in daylight",Ease of Reprocessing
Extremely heavy,Ergonomics
kinda clumsy because it is awkward to carry and fairly heavy,Ergonomics
"so much so that it's a bit heavy and thick.
",Ergonomics
"Charged my S8 plus quickly and my wife's Moto Z at the same time and still had 3 led blue lights still available and not a difficult choice would highly recommend.
",Performance
charges really well,Performance
"Did not work,",Performance
Good product. ,Performance
"Great product, doesn't drain easily. ",Performance
It doesn't lose the power fast too.,Performance
"This beast is powerful. I completely charged my iPhone 7 Plus 3.6 times with it, and it got that done in less than two hours each time",Performance
This is an excellent powerbank,Performance
"If it were lighter, cheaper, faster and thinner, I would have endowed it with five stars.
",Price
This charger is affordable and charges my phone relatively quickly,Price
Charged my S8 plus quickly and my wife's Moto Z at the same time,Use Efficiency
More efficient than the one I used to have,Use Efficiency
This thing charges my devices quickly,Use Efficiency
but the mobility and versatility ,Adaptability
The product is beautiful and perfectly sized,Aesthetics
" expected the battery to crap out after about a year, but it has been over 2 years with casual use and being beat on by a toddler, and it still works as well as it did new",Durability
" If any water whatsoever gets on this keyboard, it’s fried.
",Durability
" So I used this keyboard for about a year and half, then the keys stopped responding consistently and eventually was no longer reliable",Durability
 use this thing every single day and type for about six-eight hours on it. I have had it for well over a year and I have never replaced the internal watch battery nor have I ever run out our power from even my dimly lit office.,Durability
always works,Durability
"The reciever is also very compact and unlikley to get damaged if you are lugging a laptop around.
",Durability
This keyboard was not meant for heavy use,Durability
"Will stop recharging after about 6 months and you cannot get it fixed.
",Durability
I store in under a cabinet and it still seems to get enough light to keep the battery charge.,Ease of Reprocessing
I've never once had any issue with the solar performance ,Ease of Reprocessing
The solar cells work with very little light. ,Ease of Reprocessing
we've had zero problems with it charging or holding a charge,Ease of Reprocessing
"I can throw this thing in my briefcase, and go.
",Ease of Storage
It fits nicely in a laptop bag,Ease of Storage
" even bought one for my technologically-uninclined mother, and she figured it out on her own. It is very user friendly",Ease of Use
Is super slim and easy to type on,Ease of Use
responsive and practical keyboard I've ever used,Ease of Use
 I do normally prefer a keyboard with a little more key depth,Ergonomics
Feels pretty good to the fingertips when typing,Ergonomics
I've never once had any issue with the solar performance or with the keys or keystroke.,Ergonomics
K750 is the most comfortable,Ergonomics
"The keyboard is thin and light with laptop type keys. With that said, the key press is VERY satisfying and even when typing or playing FPS games it has a sort of sleek yet solid feedback",Ergonomics
"Because you will suddenly stop for no reason while the keyboard waits until it has enough energy to complete your task.
",Interference
easily accessible on/off switch so you can clean it without random keystrokes being sent to your computer.,Interference
Very well designed,Aesthetics
I've used it now for nearly six months and the performance is absolutely wonderful. I've never once had any issue with the solar performance or with the keys or keystroke.,Performance
productive,Performance
"Did not fit car window as advertised
",Adaptability
the fit wasn't very good.,Adaptability
"The new rain cover is also great, because you do not have to worry about any rain getting in your car. I love",Adaptability
The solar panel sits on the outside of the window and it tilts to adjust,Adaptability
There is no on/off button so it's activated by the sun (the angle of sunshine to the plate). While you're driving it can go on and off. ,Adaptability
Also too wide of a gap when installed,Aesthetics
"it's ugly
",Aesthetics
The easy to cut vinyl spacers are very sturdy and adjusted perfectly.,Durability
Installation was easy to do with the diagram that came with the ventilator,Ease of Use
It was fast and easy to install and remove. ,Ease of Use
It's a hassle to put in on and take it off ,Ease of Use
It is easy to use and install.,Ease of Use
and it's kinda loud,Interference
"But, the noise level is high, especially on highways",Interference
I love that it just makes a very quiet calming fan noise while it is working. ,Interference
Plus very noisy! ,Interference
water can leak through,Interference
when you have automatic windows that come down when then sense an obstruction it can be a challenge getting the window rolled all the way up with the koolcar in it. ,Interference
 It was utterly useless.,Performance
"High quality fans work well.
",Performance
"it does it's job and cools the care
",Performance
It works great. ,Performance
It works really good,Performance
Noticeably cooled down the car so it does what it's supposed to do.,Performance
The Kulcar is a fabulous product that worked for me exactly as advertised,Performance
My friends new car has solar panels on the roof and does the same thing. But mine costs a lot less,Price
It was way too bulky,Aesthetics
. It was also very sensitive to the light hitting the panel.,Durability
it can fit perfectly into any cup holder and into the pockets in my backpack and so forth,Adaptability
It's pro microwave which is great,Adaptability
you can put it in the microwave (microwave safe!) to reheat your coffee,Adaptability
great modern aesthetic and I am proud to be seen with it,Aesthetics
causes the lid to crack,Durability
"I had repeatedly warmed up the previous cup and contents in the microwave, causing the rubber grip band to loosen and fail.",Durability
it has a crack in the side,Durability
mug part itself is very sturdy.,Durability
They are durable,Durability
They seem to be well made and engineered,Durability
and dishwasher safe means easy cleaning,Ease of Reprocessing
Dishwasher safe,Ease of Reprocessing
"dishwasher safe, ",Ease of Reprocessing
is easy to wash ,Ease of Reprocessing
SO EASY TO CLEAN! ,Ease of Reprocessing
 a simple reusable ,Ease of Use
 It's a straightforward mug that is easy to use ,Ease of Use
although the lid is a challenge to install properly,Ease of Use
The lids are very easy to over-tighten,Ease of Use
adequately insulates my hand from hot contents,Ergonomics
comfortable to hold,Ergonomics
"Also, there is no way to seal the drinking hole, so if you have this in the car and hit a bump or stop suddenly, be prepared to get hot liquid spilled on you or the cup holder.
",Interference
It doesn't have any little crevices or weird shaped areas where stuff gets stuck or builds up ,Interference
"AND I'm not using a paper cup for each cup of coffee at work like all of my godless colleagues who want to kill planet.
",Aesthetics
" The lid should be more secure all the time, and shouldn't thread out.
",Performance
Doesn't leak ,Performance
"Insulation for hot and cold is efficient,",Performance
Its insulating properties are good,Performance
"keep your drink hot or cold what ever you like.
",Performance
Keeps my coffee and tea warm as long as I need it to,Performance
"Lastly, I have not had any leak issues",Performance
"lids seal properly,",Performance
"The lid screws on nicely, never leaks, and is smooth on the lips.
",Performance
This keeps it hot for quite a while ,Performance
top no longer stays on.,Performance
unfortunately one of the lids does not fit at all,Performance
"cheap enough that if my husband loses one, we won't cry about it.
",Price
economical price,Price
" I’ve seen something similar to these at IKEA and loved the concept. When I saw this whole set on Amazon I couldn’t resist! They nestle into each other for easy storage and the bamboo lids fit securely on top to seal in food. I’ve been working hard to remove toxicity from my household and replacing the plastic lidded glassware with these bamboo and silicone lids is a great next step. They seal completely, store easily and look amazing.",Ease of Storage
"
Play Video
 This containers looks nice but they don’t do the job properly . The lid won’t stay closed and food gets bad . I just realized it , I bought this on July I believe and I just started to use this container and this happens . So dissapointed",Performance
"… And they’re good for the planet! I will admit that I feel very good about doing my small part in helping the Environment, Mother Earth
🌏 with great products, win-win !! Love the scents and easy quick cleanups. Don’t hesitate to order 👍",Interference
"A good idea, but, in the end not worth it.

1st - the discs are a good size, but, have no absorbency. I use micelar water for cleansing and it just beads and runs over the edge before it has a chance to sink in to the pad. This actually makes me doubt the “organic” claim somewhat. I have no proof one way or the other. I only have my experience with other organic cotton products to guide me here.

2nd - Washing up. The mesh bag is much too small to allow the discs to get properly clean in the washing machine, so I used a larger mesh bag I have for other things. Make up stains didn’t come out making me feel as if I am not using a clean product. Also, the wash cycle leaves the pads shrunk and crumpled up like a fortune cookie. They will never have the same aesthetically pleasing form they arrived in, unless you wish to iron them out after you wash them. That may be a lot of trouble for something you use to clean your face with, but your decision.

3rd - On arrival the presentation is pretty enough, but, the cardboard storage box is not something that will hold up in the steamy bathroom environment. In a paper vs. humidity battle, humidity will always win. I don’t care how good your bathroom fan is, that room is going to get humid and the storage box is going to get ruined quickly.",Performance
"Absolutely 1000% recommend this light for anyone who is taking part in activities outside after dark. We camp off-grid and this light is amazing. Super bright, lightweight and compact! I recommend this light to anyone needing access to light without electricity…camping, hiking, natural disasters…etc.",Performance
"Absolutely love these, except the lids barely set on there. No click. No snap. No nothing. Definitely don’t use these to transport leftovers to grandmas house, I don’t think it would survive the car ride after the first turn you make. But they do work fine just to store foods in fridge and carefully stack.",Ergonomics
"Affordable, easy to assemble with two people and is working out so far. My husband really needed a standing desk for his home office to help with posture & tech neck. I read a ton of reviews and looked online and this brand kept showing up! I bought it for him and he has been pleased with it so far.

Only downside is that it ships in two separate pieces and those shipment dates were several days apart. We had to wait to assemble it until everything arrived. Therefore, if you need something ASAP- make sure to factor this in!",Ease of Use
"After 1 month, today mine decided to piss hot water all over the counter. It’s not coming from the top spout, as I figured. It came from the inside of the body of the machine. I unplugged it and tossed it in the trash. Not worth electrocuting myself over a 20 dollar appliance.

Also, this isn’t iced coffee guys. It’s hot coffee put on ice. You can do the same thing with a regular coffee pot. Their proprietary measurement of ice is the only reason they call it iced coffee. Skip the bad engineering, buy a regular coffee pot and put ice in it if you’re set on it. You will get an identical product in the end.",Interference
"All great, aside from having to find containers to put what was left in. The seam in the bottle cracked and was leaking.",Interference
"Although this may be 3-ply it is not soft or thick in any way. It feels like your standard scratchy 'John Wayne' toilet paper (tough, gritty) that most businesses use. I love the idea and eco-friendliness of bamboo, but you are definitely sacrificing the softness and thickness.",Performance
"Anytime I've used bandages , even the ""paper tape"" kind at labs - I have gotten a terrible rash that starts small red bumps, it grows daily, painful and almost impossible to get rid of. I've had to use prescription ointment (perhaps anti-fungal).

But - these are truly non-allergic on the adhesive part that actually sticks to the skin. No allergic reactions! I am thrilled with this product and I hope my next labs, they will use them for me.",Safety
"As a family of 5, larger packs are always appreciated. We have now bought these brushes a second time and are beyond pleased with them as a whole. No issues reaching into the tightest of spaces in our mouths. The bristles are just the right amount of softness, so no irritation on some of our sensitive gums and teeth. The best part is we can snap off the handle (if I don't use them to clean with) and either use then somewhere repurposed or compost them! 💚💙",Ease of Reprocessing
Both bottles leaked (big mess) - seals were NOT broken,Interference
Cleaners work ok but would recommend any hevey cleaning with them. Handsoap is good. Bottles not so good... Cleaner bottles broke after couple of uses. Handsoap bottle never really worked great to begin with. Tried a different brand Tirtyl that is pretty good. Equipment definitely better quality. I been using my blueland products in my Tirtyl equipment. Blueland not a bad product but I Will stick with Tirtyl products,Durability
Comfort is not good when you use a lot they are slippery to keep a hold of and the start to come apart quickly,Ergonomics
"Cute packaging, like that each is wrapped individually. It's not super soft like cottonelle but it's not hard or scratchy either. It has a really nice, appealing texture actually. Even my husband commented on it. And it's quite durable and strong. Happy that this is more gentle for the planet and that I can get it delivered on a schedule so I don't have to worry about it. I looked at other similar companies and this was of a more reasonable price, although not cheap.",Aesthetics
"Description distinctly says these will fit the new K-Express Essential maker and sometime they do but only after fiddling around with turning them this way and that, shoving them from one side to the other, etc. Sometimes I cannot ever get the the machine to close and have to use another one and fiddle with that forever. I have no problem, with them otherwise. The coffee tastes fine, with or without a paper filter, and I’ve never had grounds in my coffee. It’s just the difficulty in closing my machine that drives me crazy. If anyone has a solution for this, please let me know.",Ergonomics
Didn't like having to chew this like a piece of gum. Starts to foam before you can finish chewing it so you have a mouthful of unchewed bits and foam. Burned on the tip of my tongue and just felt like i had chewed a stick of gum instead of a good brushing. Size is convenient for travel. Good concept but wasn't for me.,Safety
Ease of use. Scents are very clean. Works very well. Love having these products to clean my home in less toxic way.,Safety
Easy to use but the scent is odd and smells like patchouli not lily.,Interference
"First off, this is a $20 machine. Keep that in mind. Yes it brews hot water, yes the ice melts.
The biggest tip I have is: brew over coffee ice cubes, not regular water ice cubes. This was the final adjustment that elevated my iced coffee game. For real.

My only complaint is: the tumbler, straw, and lid are not dishwasher safe. They are hand wash only. It’s not a huge deal but I don’t see many people talking about that.
Honestly this maker is awesome, easy to use, makes great coffee, and is fairly small so it doesn’t take up much counter space. May my ice coffee addiction get worse! Cheers!",Ease of Use
Glass is very sturdy and great for oven and microwave use. Lid on the other hand looks like it's peeling and has caused splinters already. I've had the product for less than 2 weeks. The container very sturdy and durable the lid on the other hand not so much.,Durability
Good so far. Easy to clean and use. I love that there was a variety of sizes and lots of them in the pack unlike the original beeswrap where you only get two to three in a set. The reason this only gets four stars instead of five is because it doesn't seem as sticky as the original beeswrap brand So I'm not sure how long it's going to last it's still sticks to itself and to the food it's just not as sticky. I've used it on cheese fruit and vegetables so far. We'll be trying it on sandwiches coming up for a hike here within the next week or so.,Ease of Use
"Great for Ramen at work. In general, I love the bags. I always eat a sandwich for lunch and felt SO wasteful tossing ziplock bags in the garbage. These are great! I had leftover bell pepper slices in the fridge for days and they kept beautifully, still had crispness to them.",Performance
"Had some problems with this design. Perhaps more an issue with the design of the coffee maker itself? Meaning, if the coffee machines coffee cup holder size is too small, you will then have an reusable coffee cut as this product, also made too small. I like a strong cup of coffee, that does NOT mean, ""use less water"" to concentrate the amount of coffee by the amount of water being used; indicative of espresso. No. That means I want to use MORE coffee per cup. Fundamental built-in flaw into the design of the model B60 Im using. Of course, the coffee maker coffee cup size dictates the size of the reusable cup as we see here. That said, the design of this cup FURTHER added to my frustration in that the design where the water is injected at the top of the cup, the lid, routes the water jet mostly to the sides, and not even enough at that. It neglects the top of the coffee cup where I can find almost dry coffee grinds. At first I tried just having to LIMIT EVEN MORE my already too limited amount of coffee so that the top of the total amount of coffee in the cup was lower...not happy. What I ended up trying was literally cut every other small piece of plastic that makes up the inbound jet on the lid; i cut them at the top and folded that little piece of plastic out...which I hoped would help jet more water upwards towards the top of the coffee line. That worked better. I would suggest this mod... Other than the fundamental cup size by Keurig, this product worked as desired, with the modification I made. I hope all that made sense....",Ergonomics
"hard to tell from photos but this is small. like a coin pouch small. hard to get inside to scrub clean, so not sure if i will be able to put saucy things in there. was able to fit ~2 servings of mixed nuts (70g). was hoping to use for sliced apples but will have to get a bigger size for that.

pros -- easier to fit into a pocket than a 1/4 cup container and no lid to have to hold onto or potentially lose.
cons -- smol and may be hard to clean.",Ease of Reprocessing
"Harder to suck through than I had thought, but it works. I drank from a stream, tasted fine, no problems. I'd hate to have to rely on it. It's a good thing to have in an emergency bag, or on a long hike just in case. It doesn't take the place of a good water filter for backpacking IMO
One person found this helpful",Use Efficiency
"Have no strings or other mechanism to tie them. Seem smaller than regular 13l bags.
Are very flimsy and when you try to tie them they tend to break",Ergonomics
Highly recommended. It’s a great solution for wrapping leftovers. I like the fact I’m not using plastic to do so for health and environmental reasons.,Safety
"I am a huge Mr.Coffee fan AND an iced coffee fan, so when I saw this machine come out, I had to try it.

The instructions are pretty straight forward.. Pour in water, put coffee grinds in the filter, set the tumbler down (with ice) underneath where the coffee pours out from, and it the start button. Coffee should be done within 2 minutes. Simple right?

The issue that I came across was that I found it to be just like any other Mr. Coffee coffee machine, only for one serving, rather than 2+. I personally found it to be a pointless purchase, but I did appreciate the extra tumbler and reusable filter.",Performance
"I am searching for a more eco friendly TP that fits my decorative holde and hoped this was it. It was not. It will do, but it's not very soft, sort of thin, and and on the pricier side. Slightly thinner and less soft than WGAC brand. But the main kicker is that we have a decorative toilet paper holder that works fine with mainstream brands, but not with this or WGAC because the roll diameter is too small. Since I can't fit it onto my holder, my search continues...",Adaptability
I am surprise with the quality of the item. Works and stores very easily. Went on a 14 mile hike with this bad boy and it worked beautifully. I also brought other means of hydration with me but this is a good and safe first or second option.,Safety
"I am transitioning all my cleaning and beauty products to all plant-based ones in an effort to reduce toxins in my home. I really like this laundry detergent. I have five young children, and their clothes come out clean every time!",Aesthetics
"I am using these to make cold brew coffee. They are advertised for loose leaf tea.
The holes are micro fine, so they can be used for either.
These are rather delicate metal cups, you could easily crush them if you don't care for them.
But they rinse easily to air dry for next use. I have been using for 1 1/2 months with no signs of rust or other problems.",Durability
"I believed the bristles were soft, however there are some reasons why I wouldn't buy these again. One, after some time mold begins to grow. I didn't find that very appealing, but I made sure to finish the whole box. Secondly, be aware that the bristles can begin to work its way out and become lodged in between your teeth. I like the idea of less plastic waste, but this didn't work well for me.",Interference
"I bought just the handkerchiefs. I wanted to make sure I liked them before I invested in the case. These are smaller than a standard tissue and the smaller than other handkerchiefs I purchased on my quest to find a replacement for disposable tissues. My criteria for a substitute for tissues is that they be small enough to fit in my pocket with creating a bulge but not too much smaller than a tissue. These are a little smaller than a standard tissue. They are heavier than others I have tried, but they are well made and adequately absorbent. They were also the most expensive handkerchiefs I purchased at $2.00 each. I did order a case which will come with more handkerchiefs. These will be the ones that I carry in my purse.",Ease of Storage
"I bought there rolls to see if they could be a possible replacement for our household TP. I knew it wouldn’t make sense economically but I would be ok with it if the TP still felt nice. …garbage, absolute garbage. This stuff is thinner than the massive rolls you find at hospitals, malls, or schools. Tears very easily and just disintegrates. Will definitely be sticking with Sam’s club TP.",Performance
"I bought these for dog treats but I can't use them. 1. The seal is really hard to open so these are great as a form of Fort Knox but not great if you need easy spontaneous access. 2. Way to small to get my hand in (I'm a 5'2"" woman) so you really need to use these for items you want to spill into your hand. 3. Hard to clean only because the opening is so small. Really quality silicone but just think through their use for your particular situation because they are very expensive and will still be around long after humans are extinct.",Ease of Reprocessing
I bought these for My sins babyshower...I got to the venue to decorate and when I took them out of the sealed bag..the smell was HORRIBLE that I gagged!!! I was so upset..I couldn't use any of the ones I bought!!!! It is not 4 days later and they still smell...I threw them out.... it really messed my vision of decorating up!!! I get things smell from packing somwtimes but WOW..never like this!!!!,Interference
"I bought these to use at my wedding for a photo wall, which I did not end up doing. I thought they were on one long strip, but they're individual vines (which I probably would have known if I'd read the description better). But that wasn't my issue. The biggest problem was the smell...it was like burnt plastic and sulfur. When I opened the package for the first time inside the venue, people on the other side of the room could smell it. After airing out overnight they lost all of the bad smell so, maybe just don't wait till the last minute to open them like I did. Otherwise they're very nice looking, I have them hanging in my house now with twinkle lights behind them and they look great!",Interference
"I bought this in an attempt to save money over the cold brew packs that you add to water and let sit overnight.

Pros:
1. You can use any type of ground coffee you want.
2. You'll save money over buying coffee out daily.
3. Less waste than k-cups.
4. Minimal wait time over cold brew packs and no need to have space in the fridge for a pitcher.

Cons:
1. Despite using the same type and amount of coffee and same amount of water, after 30 days of use my coffee tastes watered down almost immediately now.
2. There is no drip tray. Even switching the lever to off, it still drips onto your counters.
3. The basket that the filter goes into isn't very secure and doesn't ""lock"" into the machine.
4. Total time; filling with water, filling the tumbler with ice, adding ground coffee to the basket, letting it brew and then adding your creamer and/or sugar is about 8 minutes. (Coming from cold brew packs this feels like an eternity.)

If your someone who likes a larger amount of coffee in the morning and then a smaller amount in the afternoon, there is no option to make a smaller cup of it (unless you put the rest in the fridge). Overall, I like the machine and it's decent but I don't love it as much as making the cold brew packs. I wouldn't have paid full price for it, but since I got it on sale for $20 it was worth it.",Adaptability
I bought this set back in September 2021 . loved it for the first month and then the medium size container started to loosen up and would not seal properly. So whenever I stored left over food I would have to put another container on top when storing in the fridge. Then recently the largest one started to develop mold/mildew. I always let the lids air out over night to dry out and only store away once completely dry. I wish there was a way to contact the seller for a refund or a replacement but unfortunately I have had zero luck.,Performance
"I bought two sets of these because I know my lazy self isn't going to want to wash just 20 of them. Plus there was a discount so why not. I use one side for one morning and then the next side the next morning. At night I just slap on my toner and pat it in. I use witch hazel and yeah it just slides off, so it's not super absorbent. Before this, I was buying Shisiedo cotton pads and that stuff adds up over time.",Performance
I buy this toilet paper because our home is old (150 yo) and our sewer system is sensitive due to tree roots on our property. I have tried other brands of this type and by far this is the best. It is soft and absorbent. I gave it 4/5 stars ONLY because I wish the rolls were larger. I have this set up as auto ship and we seem to be in the last rolls as the new box arrives:) We are a family of 3 adults and one child.,Ergonomics
"I came back here to write a review that these are really hard to rip, often pulling 2-3 wipes before it catches on the slot in the lid. And upon further reading, this product contains no disinfectant. If you thought you were protecting yourself from pathogens with this product, you were wrong.",Ease of Use
"I can honestly say that not all biodegradable bags are created equal. I’ve had some that ripped as soon as I opened them up, so purchasing a new brand is always a gamble. These ones work pretty darn good. Our state has enforced new rules that require food scraps and compostable materials to be separated from regular trash. I use these for all of the food scraps and weekly cleaning of the refrigerator. One Bag was able to hold up to a fairly decent sized rotisserie chicken carcass, some fruit that had gone bad, and other miscellaneous items. Even with the weight and moisture inside the bag, I could still tie up the top of it, and take it to the compost bin without it ripping. The box it came in also stores nicely underneath the kitchen sink and doubles as a dispenser.",Ease of Storage
I did use these vines as a part of a photo back drop and they were long and I had more than enough for that so I used them as decor in other parts of the event. The smell was like a plastic smell but once aired out it went away. If I don’t gm forget I’ll come back and add pictures later.,Interference
I did use this while traveling and it was very useful being able to just collapse and tuck away... But it isn't leak proof. Thought maybe I was cross threading the lid. Nope. After a few months of use it's kind of tucked away hardly used now.,Performance
"I didn't like the fact that it wasn't very clear that I needed a drill to assemble it. This should be clear from the product description so that buyers can prepare beforehand.

The desk is good value for money, not 100% sturdy but enough for most needs. I like how it looks and feels.
Standing mechanism is working great so far.",Aesthetics
